"","rulename","ruledesign"
"1882","AGR - Wine Grape Site Suitability (WA)","suitability"
"1883","GRL - Juniper Encroachment Potential (NM)","limitation"
"1884","AGR - Nitrate Leaching Potential, Irrigated (WA) v2","limitation"
"1885","PCS - Soil Organic Carbon Storage Potential - sum","suitability"
"1886","Gopher Tortoise Habitat Suitability, Revision 6.1","suitability"
"1887","Gopher Tortoise Habitat Suitability, Revision 6.2","suitability"
"1888","Gopher Tortoise Habitat Suitability, Revision 6.3","suitability"
"1889","Gopher Tortoise Habitat Suitability, Revision 6.4","suitability"
"1890","Gopher Tortoise Habitat Suitability, Revision 6.5","suitability"
"1891","SAS - Potential for Acid Sulfate Soils","limitation"
"1892","SAS - Eelgrass Restoration Suitability","suitability"
"1893","WLF - Gopher Tortoise Burrowing Suitability","suitability"
"1894","CZSS_Shoreline Erosion_Cutbank cave","limitation"
"1895","CZSS - Coastal Shoreline and Streambank Erosion","class"
"1896","PCS - Soil Organic Carbon Storage Potential - 2017 update","suitability"
"1897","AGR - Nitrate Leaching Potential, Nonirrigated (MA)","limitation"
"1898","PCS - Soil Organic Carbon Storage Potential","suitability"
"1899","ENG - Poultry Disposal by Composting (Cat TEST) (WV)","limitation"
"1900","PCS - Soil Organic Carbon Storage Potential - histosol","suitability"
"1901","phragmites_final_rule","suitability"
"1902","phragmites_final_rule2","suitability"
"1903","CT - Road Salt Application","limitation"
"1904","AGR - (MI) Tart Cherry Orchard Suitability","limitation"
"1905","Z American C Site Desirability","suitability"
"1906","SAS - Land Utilization of Dredged Material (RI) test","limitation"
"1907","SAS - Mooring Deadweight Anchors (RI) NEW!","limitation"
"1908","SAS - Land Utilization of Dredged Materials (RI) NEW!","limitation"
"1909","SAS - Eelgrass Restoration (RI) NEW! in progress","limitation"
"1910","FOR - Rutting Hazard by Month","limitation"
"1911","Gopher Tortoise Habitat Suitability, Revision 2","suitability"
"1912","Gopher Tortoise Habitat Prism Data Suitability, Revision 5","suitability"
"1913","Gopher Tortoise Habitat Sandy Data Suitability, Revision 5","suitability"
"1914","Gopher Tortoise Habitat NASIS Data Suitability, Revision 5","suitability"
"1915","Land Application of Horizontal Drilling Coproduct","limitation"
"1916","SOH - Soil Susceptibility to Compaction","limitation"
"1917","Farm and Garden Composting Facility - Surface","limitation"
"1918","NCCPI - NCCPI Corn Submodel (I)","suitability"
"1919","SAS - Blue Soil Organic Carbon Pool (kg/square meter to 2m)","class"
"1920","SOIL HEALTH ASSESSMENT (NJ)","suitability"
"1921","VA-Degradation Susceptibility","limitation"
"1922","VA-Soil Restoration potential","suitability"
"1923","ENG - Construction Materials; Gravel Source (NE)","suitability"
"1924","Salinity Risk Index, Prairie Pothole Model (ND)","suitability"
"1925","Salinity Risk Index (ND)","limitation"
"1926","AGR - Nitrate Leaching Potential, Nonirrigated (WA) v2","limitation"
"1927","FOR - Compaction Potential (WA)","limitation"
"1928","FOR - Displacement Potential (WA)","limitation"
"1929","FOR - Puddling Potential (WA)","limitation"
"1930","FOR - Windthrow Hazard (WA)","limitation"
"1931","BLM - Pygmy Rabbit Habitat Potential (no sagebrush rule)","suitability"
"1932","AGR - Hops Site Suitability (WA)","suitability"
"1933","AWM - Vegetated Treatment Area (PIA) v1","suitability"
"1934","AWM - Vegetated Treatment Area (PIA)","suitability"
"1935","GRL - Utah Juniper Encroachment Potential","limitation"
"1936","WLF - Desert Tortoise (CA) before July 2017 modifications","limitation"
"1937","FOR (USFS) - Road Construction/Maintenance (Natural Surface)","suitability"
"1938","CPI - Small Grains, NIRR - Palouse Prairies (WA) orig","suitability"
"1939","SAS - Land Utilization of Dredged Materials","limitation"
"1940","SAS - Mooring Anchor - Deadweight","limitation"
"1941","SAS - Mooring Anchor - Mushroom","limitation"
"1942","SAS - Eastern Oyster Habitat Restoration Suitability","suitability"
"1943","SAS - Northern Quahog (Hard Clam) Habitat Suitability","suitability"
"1944","ENG - Closed-Loop Horizontal Geothermal Heat Pump (CT)","suitability"
"1945","ENG - Soil Potential of Road Salt Applications (CT)","class"
"1946","SAS - CMECS Substrate Subclass/Group/Subgroup","class"
"1947","SAS - CMECS Substrate Subclass/Group","class"
"1948","SAS - CMECS Substrate Subclass","class"
"1949","SAS - CMECS Substrate Class","class"
"1950","SAS - CMECS Substrate Origin","class"
"1951","ENG - Stormwater Management Constructed Wetland (CT)","limitation"
"1952","ENG - Stormwater Management Detention Basin (CT)","limitation"
"1953","ENG - Stormwater Management Infiltration Systems (CT)","suitability"
"1954","ENG - Stormwater Management Pervious Pavement (CT)","suitability"
"1955","ENG - Stormwater Management Retention Basin OLD (CT)","suitability"
"1956","FOR - General Harvest Season (ME)","limitation"
"1957","FOR - Potential Windthrow Hazard (ME)","limitation"
"1958","ME_SH_Soil Compaction Resistance_LHH","suitability"
"1959","ME_SH_Composting","limitation"
"1960","Copy of MT - Conservation Tree/Shrub Groups (MT)","class"
"1961","AGR - Deep Earthworm Biopore Potential","class"
"1962","AGR - Topsoil Macropore Flow Potential","class"
"1963","AGR - Subsoil Macropore Flow Potential","class"
"1964","AGR - Macropore P Leaching Potential (Topsoil x Subsoil)","limitation"
"1965","Soil Fragility Index - Land Resource Region R","limitation"
"1966","FOR - White Oak Suitability (MO) new","suitability"
"1967","CCH - Soil Drought Vulnerability","limitation"
"1968","DHS - Catastrophic Mortality, Modified Disposal, Pit","limitation"
"1969","FOR - Rutting Hazard by Season","limitation"
"1970","FOR - Soil Compactibility Risk","limitation"
"1971","FOR - Displacement Hazard","limitation"
"1972","AGR - Hay, Pasture, and Range Productivity Index","suitability"
"1973","GRL-ESD (ID) MLRA 43B Key (v2.0)","class"
"1974","SOH - Suitability for tillage radish establishment","suitability"
"1975","ENG - Construction Materials; Gravel Source (MI)(NEW)","suitability"
"1976","AGR - Biosolid Loss Potential-Leaching (MN)","limitation"
"1977","BLM-Reclamation Suitability (RO10)","limitation"
"1978","AWM - MDA Sensitive Soils (MN)","limitation"
"1979","BLM-Reclamation Suitability (RO10)2","limitation"
"1980","Kansas Commodity Crop Productivity Index","suitability"
"1981","Erin Copy of NCCPI - NCCPI Corn and Soybeans Submodel (II)","suitability"
"1982","Valley Fever","suitability"
"1983","FOR - Puddling Hazard","limitation"
"1984","SOH - Resource Concerns - Organic Matter Accumulation","suitability"
"1985","SOH - Concentration of Salts- Soil Surface","limitation"
"1986","SOH - Organic Matter Depletion","limitation"
"1987","SOH -  Suitability for Aerobic Soil Organisms","suitability"
"1988","SOH - Agricultural Organic Soil Subsidence","limitation"
"1989","GRL - Seed Bank Suitability (NM) version 1","suitability"
"1990","FOR2(USFS) - Road Construction/Maintenance (Natural Surface)","suitability"
"1991","CPS - Cover Crop (340)","limitation"
"1992","FOR - Potential Erosion Hazard (Off-Road/Off-Trail)(rev2)","limitation"
"1993","CPS - Brush Management (314)","limitation"
"1994","CPS - Watering Facility, Trough or Tank (614)","limitation"
"1995","NCCPI - NCCPI Corn Submodel (no flood)","suitability"
"1996","FOR - Mechanical Planting Suitability","limitation"
"1997","FOR - Mechanical Site Preparation (Deep)","limitation"
"1998","FOR - Mechanical Site Preparation (Surface)","limitation"
"1999","FOR - Potential Erosion Hazard (Off-Road/Off-Trail)","limitation"
"2000","FOR - Windthrow Hazard","limitation"
"2001","URB/REC - Equestrian Trails (NPS)(rev)","limitation"
"2002","TX AGR - Wind Erosion Potential (TX)","limitation"
"2003","WV_Adsorption","limitation"
"2004","AGR-Pesticide and Nutrient Leaching Potential, NIRR (ND)","limitation"
"2005","ENG - New Ohio Septic Rating (OH)","limitation"
"2006","CPS - Irrigation Pipeline (430) above ground","limitation"
"2007","CPS - Forage and Biomass Planting (512)","limitation"
"2008","CPS - Heavy Use Area Protection (561)","limitation"
"2009","CPS - Irrigation Pipeline (430) below ground","limitation"
"2010","9BRY-ENG - Construction Materials; Sand and Gravel 0-200cm","limitation"
"2011","Copy of ENG - Leaching Trench and Soil Absorption (OH)IA","limitation"
"2012","ENG - Soil Suitability for SLAMM Marsh Migration (CT)","suitability"
"2013","CZSS - Salt Retention from Coastal Saltwater Inundation","class"
"2014","CZSS - Salinization due to Coastal Saltwater Inundation (CT)","class"
"2015","CZSS - Coastal Shoreline and Streambank Erosion_Sand","class"
"2016","FOR - Potential Erosion Hazard, Road/Trail, Spring Thaw (AK)","limitation"
"2017","SOH - Organic Matter Depletion Potential, Irrigated (CA)","limitation"
"2018","CPI - Small Grains Productivity Index v1 (AK)","suitability"
"2019","GRL - Rangeland Soil Seed Bank Suitability (NM)","suitability"
"2020","CPI - Small Grains Productivity Index (AK)","suitability"
"2021","CPI - Potatoes Productivity Index (AK)","suitability"
"2022","AGR-Pesticide and Nutrient Runoff Potential (ND)","limitation"
"2023","AGR-Water Erosion Potential (ND)","limitation"
"2024","SOH - Aggregate Stability (ND)","limitation"
"2025","Reclamation Suitability (ND)","suitability"
"2026","GRL - Ranch Access Roads (TX)orig","limitation"
"2027","AWM - Land Application of Dry and Slurry Manure (TX)orig","limitation"
"2028","AGR - Wind Erosion Potential (TX)","limitation"
"2029","AGR - Wind Erosion Potential Wide Ratings Array (TX)","limitation"
"2030","Copy of limitation for homesite based on LEP 2","limitation"
"2031","Restriction Kind Sub-rules","limitation"
"2032","DHS - Emergency Land Disposal of Milk","limitation"
"2033","DHS - Emergency Animal Mortality Disposal by Shallow Burial","limitation"
"2034","NJ - Hazelnut suitability","suitability"
"2035","S. Highbush Blueberry Suitability (Hardiness Zone 8)","suitability"
"2036","FWSA R Overall","suitability"
"2037","Industrial Hemp for Fiber Production v2","suitability"
"2038","ENG - Dwellings W/O Basements_ test","limitation"
"2039","AWM - Land Application of Milk (CT)","suitability"
"2040","ENG - Stormwater Management Retention Basin NEW (CT)","limitation"
"2041","AWM - Land Application of Milk (SC)","suitability"
"2042","AGR - S. Highbush Blueberry Suitability MLRA 153 (SC)","suitability"
"2043","ENG - Animal Disposal by Composting (Catastrophic) (WV)","limitation"
"2044","FOR - Black Walnut Suitability (WV)","suitability"
"2045","AGR - Nitrate Leaching Potential, Nonirrigated (WV)","limitation"
"2046","AWM - Land Application of Milk (NY)","suitability"
"2047","ENG - Source of Caliche (TX)","limitation"
"2048","Attenuation","limitation"
"2049","SOH - Dynamic Soil Properties Response to Biochar","suitability"
"2050","AGR - Industrial Hemp for Fiber and Seed Production","suitability"
"2051","FOR - Drought Vulnerable Soils","limitation"
"2052","ENG - Deep Infiltration Systems","limitation"
"2053","ENG - Ground-based Solar Arrays, Ballast Anchor Systems","limitation"
"2054","ENG - Ground-based Solar Arrays, Soil-based Anchor Systems","limitation"
"2055","ENG - Lined Retention Systems","limitation"
"2056","ENG - Shallow Infiltration Systems","limitation"
"2057","ENG - Unlined Retention Systems","limitation"
"2058","SOH - Limitations for Aerobic Soil Organisms","limitation"
"2059","Ground-based Solar Arrays_bedrock_slope_ballast(ME)","limitation"
"2060","Ground-based Solar Arrays_saturation_flooding_Frost(ME)","limitation"
"2061","Ground-based Solar Arrays_bedrock(ME)","limitation"
"2062","Ground-based Solar Arrays_bedrock_slope_anchor(ME)","limitation"
"2063","Ground-based Solar Arrays_slope(ME)","limitation"
"2064","solar_criteria_slope(ME)","limitation"
"2065","ME_SOLAR_BALLAST_TEST","limitation"
"2066","solar_criteria_frost(ME)","limitation"
"2067","Ground-based Solar Arrays_saturationt(ME)","limitation"
"2068","Peony Flowers Site Suitability (AK)","suitability"
"2069","AGR - Blueberries Site Suitability (WA)","suitability"
"2070","Alaska Exempt Wetland Potential (AK) - test 2022","suitability"
"2071","Sawtooth Wilderness Test","suitability"
"2072","SVI - Main","limitation"
"2073","Copy of SOH - Organic Matter Depletion","limitation"
"2074","AGR - Aronia Berry Suitability (SD)","suitability"
"2075","Copy WMS - Surface Irrigation Intake Family (TX)","class"
"2076","Similar Soil Grouping for APEX Modeling","class"
"2077","TROP - Plantain Productivity (protoype)","suitability"
"2078","FOR - Shortleaf Pine Suitability","suitability"
"2079","FOR - Shortleaf Pine Productivity","suitability"
"2080","GNB - Soil Substrate Suitability for Ground Nesting Bees","suitability"
"2081","ENG - High Tunnel Ground Post Anchors","limitation"
"2082","AGR - Hops Site Suitability (ID)","suitability"
"2083","PFAS - Movement in Soils","limitation"
"2084","PFAS - Chemical Attenuation in Soils","suitability"
"2085","PFAS - Movement Classes in Soils","class"
"2086","Climate Hub - Dust PM10 and PM2.5 Propagation","suitability"
"2087","TROP - Plantains Productivity","suitability"
"2088","FOR - Black Walnut Suitability (WI)","suitability"
"2089","Black Ash Suitability","suitability"
"2090","AGR - TKS Site Suitability","suitability"
"2091","AGR - HI Coffee Prototype Model","suitability"
"2092","TROP - Coffee (Arabica) Suitability","suitability"
"2093","AGR - Guayule Site Suitability","suitability"
"2094","TROP - Cacao Suitability","suitability"
"2095","GRL - Fencing, Post Depth 24 inches or less (HI)","limitation"
"2096","Drought Vulnerabilty (NM) draft 1","limitation"
"2097","FOR - Longleaf Pine Suitability (Original)","suitability"
"2098","ISDH Septic Tank Interpretation (IN) test","limitation"
"2099","FOR LLP draft","suitability"
"2100","Carbon Sequestration","limitation"
"2101","Giant Sequoia Suitability - AVG","suitability"
"2102","CZSS - Salinization due to Coastal Saltwater Inundation (NC)","limitation"
"2103","FOR - Shortleaf Pine Climate Suitability","suitability"
"2104","FOR - Long Leaf Pine Climate Constraint","suitability"
"2105","FOR - Longleaf Pine Suitability","suitability"
"2106","AGR - HI Coffee Prototype Model Remix","class"
"2107","TROP - Guineagrass Suitability","suitability"
"2108","CT Prototype Progammatic Agreement - General Classes","limitation"
"2109","Natural Soil Groups (CT)","class"
"2110","GRL - Slickspot Site Suitability (ID) v1","suitability"
"2111","GRL - Slickspot Site Suitability (ID) v2","suitability"
"2112","FOR -  Aspen Productivity Index (MN)","limitation"
"2113","Soil Mass Movement Risk SBF","limitation"
